column_position,column_name,column_type,null,key,default,extra
97,Alert - Energy Meter has gaps,VARCHAR,YES,,,
98,Alert - Energy Meter has overlaps,VARCHAR,YES,,,
99,Alert - Energy - No meters selected for metrics,VARCHAR,YES,,,
100,Alert - Energy Meter has single entry more than 65 days,VARCHAR,YES,,,
101,Alert - Property has no uses,VARCHAR,YES,,,
102,Alert - Water Meter has less than 12 full calendar months of data,VARCHAR,YES,,,
103,"Alert - Data Center Issue (with Estimates, IT Configuration, or IT Meter)",VARCHAR,YES,,,
104,Alert - Gross Floor Area is 0 ft2,VARCHAR,YES,,,
105,Estimated Data Flag - Electricity (Grid Purchase),VARCHAR,YES,,,
106,Estimated Data Flag - Natural Gas,VARCHAR,YES,,,
107,Estimated Data Flag - District Steam,VARCHAR,YES,,,
108,Estimated Data Flag - Municipally Supplied Potable Water: Mixed Indoor/Outdoor Use,VARCHAR,YES,,,
109,Estimated Data Flag - Fuel Oil (No. 1),VARCHAR,YES,,,
110,Estimated Data Flag - Fuel Oil (No. 2),VARCHAR,YES,,,
111,Estimated Data Flag - Fuel Oil (No. 4),VARCHAR,YES,,,
112,Estimated Data Flag - Fuel Oil (No. 5 and No. 6),VARCHAR,YES,,,
113,Estimated Data Flag - Diesel,VARCHAR,YES,,,
114,Estimated Data Flag - Electricity (Onsite Solar),VARCHAR,YES,,,
115,Data Center - UPS Output Meter (kWh),VARCHAR,YES,,,
116,Data Center - PDU Input Meter (kWh),VARCHAR,YES,,,
117,Data Center - PDU Output Meter (kWh),VARCHAR,YES,,,
118,Data Center - IT Equipment Input Meter (kWh),VARCHAR,YES,,,
119,Data Center - IT Site Energy (kWh),VARCHAR,YES,,,
120,Data Center - IT Source Energy (kBtu),VARCHAR,YES,,,
121,Data Center - PUE,VARCHAR,YES,,,
122,Data Center - National Median PUE,VARCHAR,YES,,,
123,Data Center - Gross Floor Area (ft²),VARCHAR,YES,,,
124,Data Center - UPS System Redundancy,VARCHAR,YES,,,
125,Data Center - IT Energy Configuration,VARCHAR,YES,,,
126,Data Center - Energy Estimates Applied,VARCHAR,YES,,,
127,Data Center - Cooling Equipment Redundancy,VARCHAR,YES,,,
128,Adult Education - Gross Floor Area (ft²),VARCHAR,YES,,,
129,Ambulatory Surgical Center - Gross Floor Area (ft²),VARCHAR,YES,,,
130,Vehicle Dealership - Gross Floor Area (ft²),VARCHAR,YES,,,
131,Bank Branch - Gross Floor Area (ft²),VARCHAR,YES,,,
132,Barracks- Gross Floor Area (ft²),VARCHAR,YES,,,
133,College/University - Gross Floor Area (ft²),VARCHAR,YES,,,
134,Convention Center - Gross Floor Area (ft²),VARCHAR,YES,,,
135,Courthouse - Gross Floor Area (ft²),VARCHAR,YES,,,
136,Distribution Center - Gross Floor Area (ft²),VARCHAR,YES,,,
137,Enclosed Mall - Gross Floor Area (ft²),VARCHAR,YES,,,
138,Energy/Power Station - Gross Floor Area (ft²),VARCHAR,YES,,,
139,Financial Office - Gross Floor Area (ft²),VARCHAR,YES,,,
140,Financial Office - Number of Computers,VARCHAR,YES,,,
141,Financial Office - Weekly Operating Hours,VARCHAR,YES,,,
142,Financial Office - Number of Workers on Main Shift,VARCHAR,YES,,,
143,Fitness Center/Health Club/Gym - Gross Floor Area (ft²),VARCHAR,YES,,,
144,Food Sales - Gross Floor Area (ft²),VARCHAR,YES,,,
145,Food Service - Gross Floor Area (ft²),VARCHAR,YES,,,
146,Hospital (General Medical & Surgical) - Full-Time Equivalent (FTE) Workers,VARCHAR,YES,,,
147,Hospital (General Medical & Surgical) - Gross Floor Area (ft²),VARCHAR,YES,,,
148,Hospital (General Medical & Surgical) - Laboratory,VARCHAR,YES,,,
149,Hospital (General Medical & Surgical) - Licensed Bed Capacity,VARCHAR,YES,,,
150,Hospital (General Medical & Surgical) - Number of MRI Machines,VARCHAR,YES,,,
151,"Hospital (General Medical & Surgical) - MRI Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
152,Hospital (General Medical & Surgical) - Number of Staffed Beds,VARCHAR,YES,,,
153,"Hospital (General Medical & Surgical) - Staffed Bed Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
154,"Hospital (General Medical & Surgical) - Full-Time Equivalent (FTE) Worker Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
155,Hospital (General Medical & Surgical) - Percent That Can Be Cooled,VARCHAR,YES,,,
156,Hospital (General Medical & Surgical) - Percent That Can Be Heated,VARCHAR,YES,,,
157,Medical Office - Gross Floor Area (ft²),VARCHAR,YES,,,
158,Medical Office - Number of Computers,VARCHAR,YES,,,
159,Medical Office - Number of MRI Machines,VARCHAR,YES,,,
160,Medical Office - Number of Workers on Main Shift,VARCHAR,YES,,,
161,Medical Office - Percent That Can Be Cooled,VARCHAR,YES,,,
162,Medical Office - Percent That Can Be Heated,VARCHAR,YES,,,
163,Medical Office - Weekly Operating Hours,VARCHAR,YES,,,
164,Outpatient Rehabilitation/Physical Therapy - Gross Floor Area (ft²),VARCHAR,YES,,,
165,Urgent Care/Clinic/Other Outpatient - Gross Floor Area (ft²),VARCHAR,YES,,,
166,Hotel - Gross Floor Area (ft²),VARCHAR,YES,,,
167,Hotel - Gym/fitness  Center Floor Area (ft²),VARCHAR,YES,,,
168,K-12 School - Gross Floor Area (ft²),VARCHAR,YES,,,
169,Pre-school/Daycare - Gross Floor Area (ft²),VARCHAR,YES,,,
170,Laboratory - Gross Floor Area (ft²),VARCHAR,YES,,,
171,Mailing Center/Post Office - Gross Floor Area (ft²),VARCHAR,YES,,,
172,Movie Theater - Gross Floor Area (ft²),VARCHAR,YES,,,
173,Manufacturing/Industrial Plant - Gross Floor Area (ft²),VARCHAR,YES,,,
174,Multifamily Housing - Government Subsidized Housing,VARCHAR,YES,,,
175,Institutional Property? (Y/N),VARCHAR,YES,,,
176,Multifamily Housing - Gross Floor Area (ft²),VARCHAR,YES,,,
177,Multifamily Housing - Number of Bedrooms,VARCHAR,YES,,,
178,"Multifamily Housing - Number of Bedrooms Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
179,Multifamily Housing - Number of Laundry Hookups in All Units,VARCHAR,YES,,,
180,Multifamily Housing - Number of Laundry Hookups in Common Area(s),VARCHAR,YES,,,
181,Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),VARCHAR,YES,,,
182,Multifamily Housing - Percent That Can Be Cooled,VARCHAR,YES,,,
183,Multifamily Housing - Percent That Can Be Heated,VARCHAR,YES,,,
184,Multifamily Housing - Total Number of Residential Living Units,VARCHAR,YES,,,
185,"Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
186,"Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
187,Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),VARCHAR,YES,,,
188,"Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 sq ft)",VARCHAR,YES,,,
189,Multifamily Housing - Resident Population Type,VARCHAR,YES,,,
